(MMTM_code) PS C:\黄琬婷\作业2\作业2\作业2\FCN分割算法> python train.py
Setting up a new session...
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Downloading: "https://download.pytorch.org/models/vgg19-dcbb9e9d.pth" to C:\Users\bb009/.cache\torch\hub\checkpoints\vgg19-dcbb9e9d.pth
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 548M/548M [00:56<00:00, 10.2MB/s]
epoch 21, 390/540,train loss is 0.018268587067723274
epoch 21, 405/540,train loss is 0.03697025775909424
epoch 21, 420/540,train loss is 0.020778503268957138
epoch 21, 435/540,train loss is 0.036188606172800064
epoch 21, 450/540,train loss is 0.039426472038030624
epoch 21, 465/540,train loss is 0.024913016706705093
epoch 21, 480/540,train loss is 0.030910557135939598
epoch 21, 495/540,train loss is 0.02942500449717045
epoch 21, 510/540,train loss is 0.03242131695151329
epoch 21, 525/540,train loss is 0.028642019256949425
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.038311, epoch test loss = 0.106128, Time 00:00:37
epoch 22, 0/540,train loss is 0.02125561609864235
epoch 22, 15/540,train loss is 0.03653242439031601
epoch 22, 30/540,train loss is 0.019326966255903244
epoch 22, 45/540,train loss is 0.030659152194857597
epoch 22, 60/540,train loss is 0.055772408843040466
epoch 22, 75/540,train loss is 0.04119822382926941
epoch 22, 90/540,train loss is 0.03378669545054436
epoch 22, 105/540,train loss is 0.05933443829417229
epoch 22, 120/540,train loss is 0.1949339061975479
epoch 22, 135/540,train loss is 0.04042792692780495
epoch 22, 150/540,train loss is 0.03250997141003609
epoch 22, 165/540,train loss is 0.08421467244625092
epoch 22, 180/540,train loss is 0.02510773576796055
epoch 22, 195/540,train loss is 0.01842305436730385
epoch 22, 210/540,train loss is 0.02956956811249256
epoch 22, 225/540,train loss is 0.027057882398366928
epoch 22, 240/540,train loss is 0.02831820398569107
epoch 22, 255/540,train loss is 0.0619797445833683
epoch 22, 270/540,train loss is 0.016596373170614243
epoch 22, 285/540,train loss is 0.017963936552405357
epoch 22, 300/540,train loss is 0.020729348063468933
epoch 22, 315/540,train loss is 0.052008308470249176
epoch 22, 330/540,train loss is 0.017802221700549126
epoch 22, 345/540,train loss is 0.026529425755143166
epoch 22, 360/540,train loss is 0.01548125222325325
epoch 22, 375/540,train loss is 0.05114721134305
epoch 22, 390/540,train loss is 0.04287755861878395
epoch 22, 405/540,train loss is 0.02597419172525406
epoch 22, 420/540,train loss is 0.023986410349607468
epoch 22, 435/540,train loss is 0.013954794965684414
epoch 22, 450/540,train loss is 0.03198828175663948
epoch 22, 465/540,train loss is 0.04138224199414253
epoch 22, 480/540,train loss is 0.03982897475361824
epoch 22, 495/540,train loss is 0.024974651634693146
epoch 22, 510/540,train loss is 0.028071526437997818
epoch 22, 525/540,train loss is 0.0251059141010046
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.036769, epoch test loss = 0.106111, Time 00:00:37
epoch 23, 0/540,train loss is 0.015046784654259682
epoch 23, 15/540,train loss is 0.029459098353981972
epoch 23, 30/540,train loss is 0.02431551367044449
epoch 23, 45/540,train loss is 0.025235315784811974
epoch 23, 60/540,train loss is 0.02374032884836197
epoch 23, 75/540,train loss is 0.022165987640619278
epoch 23, 90/540,train loss is 0.01727549359202385
epoch 23, 105/540,train loss is 0.012644258327782154
epoch 23, 120/540,train loss is 0.019940325990319252
epoch 23, 135/540,train loss is 0.025698985904455185
epoch 23, 150/540,train loss is 0.049219198524951935
epoch 23, 165/540,train loss is 0.019767126068472862
epoch 23, 180/540,train loss is 0.034381672739982605
epoch 23, 195/540,train loss is 0.024956123903393745
epoch 23, 210/540,train loss is 0.025380698963999748
epoch 23, 225/540,train loss is 0.02917460910975933
epoch 23, 240/540,train loss is 0.03203742578625679
epoch 23, 255/540,train loss is 0.02513745240867138
epoch 23, 270/540,train loss is 0.028014222159981728
epoch 23, 285/540,train loss is 0.039811380207538605
epoch 23, 300/540,train loss is 0.03393706679344177
epoch 23, 315/540,train loss is 0.036587465554475784
epoch 23, 330/540,train loss is 0.03502572327852249
epoch 23, 345/540,train loss is 0.015579079277813435
epoch 23, 360/540,train loss is 0.036245789378881454
epoch 23, 375/540,train loss is 0.05631816387176514
epoch 23, 390/540,train loss is 0.01915118470788002
epoch 23, 405/540,train loss is 0.03362816199660301
epoch 23, 420/540,train loss is 0.03737586364150047
epoch 23, 435/540,train loss is 0.03840504586696625
epoch 23, 450/540,train loss is 0.0202272180467844
epoch 23, 465/540,train loss is 0.030880365520715714
epoch 23, 480/540,train loss is 0.05644761398434639
epoch 23, 495/540,train loss is 0.012730829417705536
epoch 23, 510/540,train loss is 0.05210301652550697
epoch 23, 525/540,train loss is 0.014358538202941418
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.035572, epoch test loss = 0.110797, Time 00:00:38
epoch 24, 0/540,train loss is 0.00913821067661047
epoch 24, 15/540,train loss is 0.023190971463918686
epoch 24, 30/540,train loss is 0.022238517180085182
epoch 24, 45/540,train loss is 0.023881716653704643
epoch 24, 60/540,train loss is 0.045176271349191666
epoch 24, 75/540,train loss is 0.022068843245506287
epoch 24, 90/540,train loss is 0.037057023495435715
epoch 24, 105/540,train loss is 0.028948737308382988
epoch 24, 120/540,train loss is 0.03138916566967964
epoch 24, 135/540,train loss is 0.03729480504989624
epoch 24, 150/540,train loss is 0.015024688094854355
epoch 24, 165/540,train loss is 0.018416784703731537
epoch 24, 180/540,train loss is 0.032281599938869476
epoch 24, 195/540,train loss is 0.020015902817249298
epoch 24, 210/540,train loss is 0.017836740240454674
epoch 24, 225/540,train loss is 0.026175212115049362
epoch 24, 240/540,train loss is 0.05209364369511604
epoch 24, 255/540,train loss is 0.03288528323173523
epoch 24, 270/540,train loss is 0.020034022629261017
epoch 24, 285/540,train loss is 0.041010234504938126
epoch 24, 300/540,train loss is 0.03453579917550087
epoch 24, 315/540,train loss is 0.019981689751148224
epoch 24, 330/540,train loss is 0.048958033323287964
epoch 24, 345/540,train loss is 0.021537762135267258
epoch 24, 360/540,train loss is 0.016671711578965187
epoch 24, 375/540,train loss is 0.02284901961684227
epoch 24, 390/540,train loss is 0.03690695762634277
epoch 24, 405/540,train loss is 0.02409348450601101
epoch 24, 420/540,train loss is 0.024163659662008286
epoch 24, 435/540,train loss is 0.04044133052229881
epoch 24, 450/540,train loss is 0.02802799642086029
epoch 24, 465/540,train loss is 0.034139495342969894
epoch 24, 480/540,train loss is 0.014203527010977268
epoch 24, 495/540,train loss is 0.027354154735803604
epoch 24, 510/540,train loss is 0.047556646168231964
epoch 24, 525/540,train loss is 0.02683723345398903
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.034443, epoch test loss = 0.104169, Time 00:00:38
epoch 25, 0/540,train loss is 0.01637905091047287
epoch 25, 15/540,train loss is 0.026518337428569794
epoch 25, 30/540,train loss is 0.07782280445098877
epoch 25, 45/540,train loss is 0.028576333075761795
epoch 25, 60/540,train loss is 0.013628913089632988
epoch 25, 75/540,train loss is 0.05021915212273598
epoch 25, 90/540,train loss is 0.021515173837542534
epoch 25, 105/540,train loss is 0.03765026852488518
epoch 25, 120/540,train loss is 0.01606653816998005
epoch 25, 135/540,train loss is 0.027509106323122978
epoch 25, 150/540,train loss is 0.018946101889014244
epoch 25, 165/540,train loss is 0.03414780646562576
epoch 25, 180/540,train loss is 0.025029713287949562
epoch 25, 195/540,train loss is 0.025166014209389687
epoch 25, 210/540,train loss is 0.04272405430674553
epoch 25, 225/540,train loss is 0.0352599173784256
epoch 25, 240/540,train loss is 0.10309949517250061
epoch 25, 255/540,train loss is 0.027090176939964294
epoch 25, 270/540,train loss is 0.025071028620004654
epoch 25, 285/540,train loss is 0.021125521510839462
epoch 25, 300/540,train loss is 0.031663935631513596
epoch 25, 315/540,train loss is 0.020919570699334145
epoch 25, 330/540,train loss is 0.036834537982940674
epoch 25, 345/540,train loss is 0.016501737758517265
epoch 25, 360/540,train loss is 0.03929298743605614
epoch 25, 375/540,train loss is 0.042212508618831635
epoch 25, 390/540,train loss is 0.02425810694694519
epoch 25, 405/540,train loss is 0.019951099529862404
epoch 25, 420/540,train loss is 0.030007265508174896
epoch 25, 435/540,train loss is 0.021993722766637802
epoch 25, 450/540,train loss is 0.01653638482093811
epoch 25, 465/540,train loss is 0.02826976776123047
epoch 25, 480/540,train loss is 0.018481656908988953
epoch 25, 495/540,train loss is 0.0278193186968565
epoch 25, 510/540,train loss is 0.02141905017197132
epoch 25, 525/540,train loss is 0.02048249915242195
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.033776, epoch test loss = 0.106481, Time 00:00:38
saveing checkpoints/fcn_model_25.pt
epoch 26, 0/540,train loss is 0.023502375930547714
epoch 26, 15/540,train loss is 0.0209170151501894
epoch 26, 30/540,train loss is 0.03134952113032341
epoch 26, 45/540,train loss is 0.07758727669715881
epoch 26, 60/540,train loss is 0.024257758632302284
epoch 26, 75/540,train loss is 0.040307238698005676
epoch 26, 90/540,train loss is 0.03617829456925392
epoch 26, 105/540,train loss is 0.023936782032251358
epoch 26, 120/540,train loss is 0.029893962666392326
epoch 26, 135/540,train loss is 0.0417059026658535
epoch 26, 150/540,train loss is 0.014704947359859943
epoch 26, 165/540,train loss is 0.033938150852918625
epoch 26, 180/540,train loss is 0.02995111420750618
epoch 26, 195/540,train loss is 0.024185270071029663
epoch 26, 210/540,train loss is 0.01772412471473217
epoch 26, 225/540,train loss is 0.01695645973086357
epoch 26, 240/540,train loss is 0.0349595732986927
epoch 26, 255/540,train loss is 0.05106407031416893
epoch 26, 270/540,train loss is 0.0269011203199625
epoch 26, 285/540,train loss is 0.04340439289808273
epoch 26, 300/540,train loss is 0.027337921783328056
epoch 26, 315/540,train loss is 0.043258845806121826
epoch 26, 330/540,train loss is 0.014427829533815384
epoch 26, 345/540,train loss is 0.02405514195561409
epoch 26, 360/540,train loss is 0.08109977841377258
epoch 26, 375/540,train loss is 0.04473307356238365
epoch 26, 390/540,train loss is 0.01696224883198738
epoch 26, 405/540,train loss is 0.037624672055244446
epoch 26, 420/540,train loss is 0.035765327513217926
epoch 26, 435/540,train loss is 0.023239240050315857
epoch 26, 450/540,train loss is 0.03234393522143364
epoch 26, 465/540,train loss is 0.03090347908437252
epoch 26, 480/540,train loss is 0.02244753949344158
epoch 26, 495/540,train loss is 0.027369951829314232
epoch 26, 510/540,train loss is 0.020596981048583984
epoch 26, 525/540,train loss is 0.029458794742822647
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.033272, epoch test loss = 0.109055, Time 00:00:38
epoch 27, 0/540,train loss is 0.026108751073479652
epoch 27, 15/540,train loss is 0.03374101594090462
epoch 27, 30/540,train loss is 0.037082064896821976
epoch 27, 45/540,train loss is 0.03397729620337486
epoch 27, 60/540,train loss is 0.024420466274023056
epoch 27, 75/540,train loss is 0.02103635109961033
epoch 27, 90/540,train loss is 0.027782589197158813
epoch 27, 105/540,train loss is 0.028458233922719955
epoch 27, 120/540,train loss is 0.02601718343794346
epoch 27, 135/540,train loss is 0.03577699884772301
epoch 27, 150/540,train loss is 0.057954829186201096
epoch 27, 165/540,train loss is 0.016973888501524925
epoch 27, 180/540,train loss is 0.020124349743127823
epoch 27, 195/540,train loss is 0.015992827713489532
epoch 27, 210/540,train loss is 0.017812620848417282
epoch 27, 225/540,train loss is 0.032026637345552444
epoch 27, 240/540,train loss is 0.04277222976088524
epoch 27, 255/540,train loss is 0.03462238237261772
epoch 27, 270/540,train loss is 0.024510955438017845
epoch 27, 285/540,train loss is 0.008063568733632565
epoch 27, 300/540,train loss is 0.022151440382003784
epoch 27, 315/540,train loss is 0.02679348923265934
epoch 27, 330/540,train loss is 0.04021443426609039
epoch 27, 345/540,train loss is 0.02051425725221634
epoch 27, 360/540,train loss is 0.01947464421391487
epoch 27, 375/540,train loss is 0.084904745221138
epoch 27, 390/540,train loss is 0.023875968530774117
epoch 27, 405/540,train loss is 0.034371595829725266
epoch 27, 420/540,train loss is 0.029867293313145638
epoch 27, 435/540,train loss is 0.021704282611608505
epoch 27, 450/540,train loss is 0.031928014010190964
epoch 27, 465/540,train loss is 0.02168596163392067
epoch 27, 480/540,train loss is 0.022245606407523155
epoch 27, 495/540,train loss is 0.02540103904902935
epoch 27, 510/540,train loss is 0.0322774201631546
epoch 27, 525/540,train loss is 0.020653996616601944
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.033279, epoch test loss = 0.111268, Time 00:00:39
epoch 28, 0/540,train loss is 0.03559238836169243
epoch 28, 15/540,train loss is 0.035685405135154724
epoch 28, 30/540,train loss is 0.021870577707886696
epoch 28, 45/540,train loss is 0.018826911225914955
epoch 28, 60/540,train loss is 0.026527058333158493
epoch 28, 75/540,train loss is 0.01733214594423771
epoch 28, 90/540,train loss is 0.0493958480656147
epoch 28, 105/540,train loss is 0.031636256724596024
epoch 28, 120/540,train loss is 0.020601199939846992
epoch 28, 135/540,train loss is 0.0287251565605402
epoch 28, 150/540,train loss is 0.02005821093916893
epoch 28, 165/540,train loss is 0.025390982627868652
epoch 28, 180/540,train loss is 0.03342312201857567
epoch 28, 195/540,train loss is 0.02691025845706463
epoch 28, 210/540,train loss is 0.02663717232644558
epoch 28, 225/540,train loss is 0.017970019951462746
epoch 28, 240/540,train loss is 0.02626100555062294
epoch 28, 255/540,train loss is 0.025373736396431923
epoch 28, 270/540,train loss is 0.024037225171923637
epoch 28, 285/540,train loss is 0.018844744190573692
epoch 28, 300/540,train loss is 0.02917831763625145
epoch 28, 315/540,train loss is 0.018785709515213966
epoch 28, 330/540,train loss is 0.02929062768816948
epoch 28, 345/540,train loss is 0.04503095895051956
epoch 28, 360/540,train loss is 0.029010938480496407
epoch 28, 375/540,train loss is 0.02387218363583088
epoch 28, 390/540,train loss is 0.02590247616171837
epoch 28, 405/540,train loss is 0.04452509805560112
epoch 28, 420/540,train loss is 0.04021218791604042
epoch 28, 435/540,train loss is 0.032047588378190994
epoch 28, 450/540,train loss is 0.032367050647735596
epoch 28, 465/540,train loss is 0.012824947945773602
epoch 28, 480/540,train loss is 0.024876026436686516
epoch 28, 495/540,train loss is 0.10676820576190948
epoch 28, 510/540,train loss is 0.03527310863137245
epoch 28, 525/540,train loss is 0.04544863477349281
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.032238, epoch test loss = 0.110796, Time 00:00:39
epoch 29, 0/540,train loss is 0.06580536812543869
epoch 29, 15/540,train loss is 0.10950103402137756
epoch 29, 30/540,train loss is 0.021933922544121742
epoch 29, 45/540,train loss is 0.044822413474321365
epoch 29, 60/540,train loss is 0.0249620508402586
epoch 29, 75/540,train loss is 0.03119977004826069
epoch 29, 90/540,train loss is 0.027841750532388687
epoch 29, 105/540,train loss is 0.024697143584489822
epoch 29, 120/540,train loss is 0.03491974622011185
epoch 29, 135/540,train loss is 0.03645818307995796
epoch 29, 150/540,train loss is 0.018369819968938828
epoch 29, 165/540,train loss is 0.01556391641497612
epoch 29, 180/540,train loss is 0.017208106815814972
epoch 29, 195/540,train loss is 0.03764409199357033
epoch 29, 210/540,train loss is 0.014722446911036968
epoch 29, 225/540,train loss is 0.021838072687387466
epoch 29, 240/540,train loss is 0.025240149348974228
epoch 29, 255/540,train loss is 0.038247428834438324
epoch 29, 270/540,train loss is 0.02720342017710209
epoch 29, 285/540,train loss is 0.01248141285032034
epoch 29, 300/540,train loss is 0.011402093805372715
epoch 29, 315/540,train loss is 0.04084933549165726
epoch 29, 330/540,train loss is 0.026653684675693512
epoch 29, 345/540,train loss is 0.016402529552578926
epoch 29, 360/540,train loss is 0.02395152673125267
epoch 29, 375/540,train loss is 0.01969205029308796
epoch 29, 390/540,train loss is 0.02375425584614277
epoch 29, 405/540,train loss is 0.021576005965471268
epoch 29, 420/540,train loss is 0.04301745817065239
epoch 29, 435/540,train loss is 0.01910833828151226
epoch 29, 450/540,train loss is 0.03461047634482384
epoch 29, 465/540,train loss is 0.020233213901519775
epoch 29, 480/540,train loss is 0.07621386647224426
epoch 29, 495/540,train loss is 0.030483076348900795
epoch 29, 510/540,train loss is 0.02867349609732628
epoch 29, 525/540,train loss is 0.014596083201467991
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.031354, epoch test loss = 0.112149, Time 00:00:38
epoch 30, 0/540,train loss is 0.026788916438817978
epoch 30, 15/540,train loss is 0.0734815001487732
epoch 30, 30/540,train loss is 0.012207342311739922
epoch 30, 45/540,train loss is 0.028277728706598282
epoch 30, 60/540,train loss is 0.026489125564694405
epoch 30, 75/540,train loss is 0.031226160004734993
epoch 30, 90/540,train loss is 0.019248804077506065
epoch 30, 105/540,train loss is 0.036124635487794876
epoch 30, 120/540,train loss is 0.05007586255669594
epoch 30, 135/540,train loss is 0.03352579101920128
epoch 30, 150/540,train loss is 0.021350061520934105
epoch 30, 165/540,train loss is 0.025066832080483437
epoch 30, 180/540,train loss is 0.025448312982916832
epoch 30, 195/540,train loss is 0.03317425400018692
epoch 30, 210/540,train loss is 0.025165073573589325
epoch 30, 225/540,train loss is 0.02890167199075222
epoch 30, 240/540,train loss is 0.05787098407745361
epoch 30, 255/540,train loss is 0.014751758426427841
epoch 30, 270/540,train loss is 0.03515284135937691
epoch 30, 285/540,train loss is 0.032247770577669144
epoch 30, 300/540,train loss is 0.030189761891961098
epoch 30, 315/540,train loss is 0.024226494133472443
epoch 30, 330/540,train loss is 0.018611742183566093
epoch 30, 345/540,train loss is 0.026422008872032166
epoch 30, 360/540,train loss is 0.026042556390166283
epoch 30, 375/540,train loss is 0.038649845868349075
epoch 30, 390/540,train loss is 0.02209739200770855
epoch 30, 405/540,train loss is 0.012237503193318844
epoch 30, 420/540,train loss is 0.02377576380968094
epoch 30, 435/540,train loss is 0.022107286378741264
epoch 30, 450/540,train loss is 0.04470369219779968
epoch 30, 465/540,train loss is 0.025075634941458702
epoch 30, 480/540,train loss is 0.029887285083532333
epoch 30, 495/540,train loss is 0.043392427265644073
epoch 30, 510/540,train loss is 0.03856224939227104
epoch 30, 525/540,train loss is 0.014055498875677586
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.030429, epoch test loss = 0.107798, Time 00:00:39
saveing checkpoints/fcn_model_30.pt
epoch 31, 0/540,train loss is 0.03289569914340973
epoch 31, 15/540,train loss is 0.02288016676902771
epoch 31, 30/540,train loss is 0.026410453021526337
epoch 31, 45/540,train loss is 0.02418307214975357
epoch 31, 60/540,train loss is 0.024291008710861206
epoch 31, 75/540,train loss is 0.016468971967697144
epoch 31, 90/540,train loss is 0.04574939236044884
epoch 31, 105/540,train loss is 0.03193778544664383
epoch 31, 120/540,train loss is 0.011684274300932884
epoch 31, 135/540,train loss is 0.03871948644518852
epoch 31, 150/540,train loss is 0.021315433084964752
epoch 31, 165/540,train loss is 0.03305855765938759
epoch 31, 180/540,train loss is 0.01763235405087471
epoch 31, 195/540,train loss is 0.010895416140556335
epoch 31, 210/540,train loss is 0.011942441575229168
epoch 31, 225/540,train loss is 0.027333825826644897
epoch 31, 240/540,train loss is 0.01761576533317566
epoch 31, 255/540,train loss is 0.03743274509906769
epoch 31, 270/540,train loss is 0.030615104362368584
epoch 31, 285/540,train loss is 0.015089062042534351
epoch 31, 300/540,train loss is 0.01124777365475893
epoch 31, 315/540,train loss is 0.02285882830619812
epoch 31, 330/540,train loss is 0.012334813363850117
epoch 31, 345/540,train loss is 0.0275365449488163
epoch 31, 360/540,train loss is 0.024078266695141792
epoch 31, 375/540,train loss is 0.019906222820281982
epoch 31, 390/540,train loss is 0.023632969707250595
epoch 31, 405/540,train loss is 0.0241091251373291
epoch 31, 420/540,train loss is 0.01827506348490715
epoch 31, 435/540,train loss is 0.02203238382935524
epoch 31, 450/540,train loss is 0.026860537007451057
epoch 31, 465/540,train loss is 0.03930317610502243
epoch 31, 480/540,train loss is 0.012801826000213623
epoch 31, 495/540,train loss is 0.025706717744469643
epoch 31, 510/540,train loss is 0.020742233842611313
epoch 31, 525/540,train loss is 0.024141211062669754
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.029463, epoch test loss = 0.115360, Time 00:00:40
epoch 32, 0/540,train loss is 0.02131706103682518
epoch 32, 15/540,train loss is 0.039001502096652985
epoch 32, 30/540,train loss is 0.03975943475961685
epoch 32, 45/540,train loss is 0.02369493618607521
epoch 32, 60/540,train loss is 0.030059536918997765
epoch 32, 75/540,train loss is 0.02119975909590721
epoch 32, 90/540,train loss is 0.03937087580561638
epoch 32, 105/540,train loss is 0.019932307302951813
epoch 32, 120/540,train loss is 0.023229403421282768
epoch 32, 135/540,train loss is 0.03213253244757652
epoch 32, 150/540,train loss is 0.02820461615920067
epoch 32, 165/540,train loss is 0.017063023522496223
epoch 32, 180/540,train loss is 0.02806686796247959
epoch 32, 195/540,train loss is 0.034499019384384155
epoch 32, 210/540,train loss is 0.014042887836694717
epoch 32, 225/540,train loss is 0.08358275890350342
epoch 32, 240/540,train loss is 0.022210827097296715
epoch 32, 255/540,train loss is 0.03035818599164486
epoch 32, 270/540,train loss is 0.02346019260585308
epoch 32, 285/540,train loss is 0.032747749239206314
epoch 32, 300/540,train loss is 0.022376717999577522
epoch 32, 315/540,train loss is 0.016149284318089485
epoch 32, 330/540,train loss is 0.028771013021469116
epoch 32, 345/540,train loss is 0.04258556291460991
epoch 32, 360/540,train loss is 0.02066623605787754
epoch 32, 375/540,train loss is 0.041119299829006195
epoch 32, 390/540,train loss is 0.021594366058707237
epoch 32, 405/540,train loss is 0.03247016668319702
epoch 32, 420/540,train loss is 0.029235688969492912
epoch 32, 435/540,train loss is 0.03542732074856758
epoch 32, 450/540,train loss is 0.06784640997648239
epoch 32, 465/540,train loss is 0.04139309003949165
epoch 32, 480/540,train loss is 0.030933016911149025
epoch 32, 495/540,train loss is 0.019545789808034897
epoch 32, 510/540,train loss is 0.016558384522795677
epoch 32, 525/540,train loss is 0.020092440769076347
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.028453, epoch test loss = 0.108724, Time 00:00:40
epoch 33, 0/540,train loss is 0.013424789533019066
epoch 33, 15/540,train loss is 0.027248019352555275
epoch 33, 30/540,train loss is 0.031148016452789307
epoch 33, 45/540,train loss is 0.04699498414993286
epoch 33, 60/540,train loss is 0.021280324086546898
epoch 33, 75/540,train loss is 0.022112449631094933
epoch 33, 90/540,train loss is 0.020158078521490097
epoch 33, 105/540,train loss is 0.015010237693786621
epoch 33, 120/540,train loss is 0.021422363817691803
epoch 33, 135/540,train loss is 0.02805992029607296
epoch 33, 150/540,train loss is 0.017871929332613945
epoch 33, 165/540,train loss is 0.02218584716320038
epoch 33, 180/540,train loss is 0.037392787635326385
epoch 33, 195/540,train loss is 0.015765292569994926
epoch 33, 210/540,train loss is 0.016638902947306633
epoch 33, 225/540,train loss is 0.011312248185276985
epoch 33, 240/540,train loss is 0.029842037707567215
epoch 33, 255/540,train loss is 0.026032356545329094
epoch 33, 270/540,train loss is 0.11173222213983536
epoch 33, 285/540,train loss is 0.013149801641702652
epoch 33, 300/540,train loss is 0.08496864885091782
epoch 33, 315/540,train loss is 0.033034637570381165
epoch 33, 330/540,train loss is 0.020434042438864708
epoch 33, 345/540,train loss is 0.013594133779406548
epoch 33, 360/540,train loss is 0.011014151386916637
epoch 33, 375/540,train loss is 0.041495684534311295
epoch 33, 390/540,train loss is 0.034877385944128036
epoch 33, 405/540,train loss is 0.03199630603194237
epoch 33, 420/540,train loss is 0.02259247936308384
epoch 33, 435/540,train loss is 0.046483345329761505
epoch 33, 450/540,train loss is 0.01660844124853611
epoch 33, 465/540,train loss is 0.01836152747273445
epoch 33, 480/540,train loss is 0.03089337982237339
epoch 33, 495/540,train loss is 0.02145707607269287
epoch 33, 510/540,train loss is 0.021055206656455994
epoch 33, 525/540,train loss is 0.019311513751745224
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.027856, epoch test loss = 0.119286, Time 00:00:40
epoch 34, 0/540,train loss is 0.011796464212238789
epoch 34, 15/540,train loss is 0.028755147010087967
epoch 34, 30/540,train loss is 0.032151129096746445
epoch 34, 45/540,train loss is 0.02043822780251503
epoch 34, 60/540,train loss is 0.034840911626815796
epoch 34, 75/540,train loss is 0.012841452844440937
epoch 34, 90/540,train loss is 0.026143331080675125
epoch 34, 105/540,train loss is 0.034199059009552
epoch 34, 120/540,train loss is 0.03297647088766098
epoch 34, 135/540,train loss is 0.014845943078398705
epoch 34, 150/540,train loss is 0.0302401352673769
epoch 34, 165/540,train loss is 0.01939118653535843
epoch 34, 180/540,train loss is 0.01758565567433834
epoch 34, 195/540,train loss is 0.018328962847590446
epoch 34, 210/540,train loss is 0.018338238820433617
epoch 34, 225/540,train loss is 0.024749740958213806
epoch 34, 240/540,train loss is 0.011802196502685547
epoch 34, 255/540,train loss is 0.013219446875154972
epoch 34, 270/540,train loss is 0.029315175488591194
epoch 34, 285/540,train loss is 0.01587338000535965
epoch 34, 300/540,train loss is 0.018223358318209648
epoch 34, 315/540,train loss is 0.038781944662332535
epoch 34, 330/540,train loss is 0.025098906829953194
epoch 34, 345/540,train loss is 0.019149061292409897
epoch 34, 360/540,train loss is 0.020421292632818222
epoch 34, 375/540,train loss is 0.029809020459651947
epoch 34, 390/540,train loss is 0.01082020252943039
epoch 34, 405/540,train loss is 0.04444342479109764
epoch 34, 420/540,train loss is 0.031816769391298294
epoch 34, 435/540,train loss is 0.022648708894848824
epoch 34, 450/540,train loss is 0.021603303030133247
epoch 34, 465/540,train loss is 0.023247238248586655
epoch 34, 480/540,train loss is 0.016120705753564835
